,date,fees
155,2018-06-05,0.11351690216419245
156,2018-06-06,0.14363909107047756
157,2018-06-07,0.11201099485724421
158,2018-06-08,0.09647666842754006
159,2018-06-09,0.07828163992869876
160,2018-06-10,0.0778452402056373
161,2018-06-11,0.08367650698249955
162,2018-06-12,0.08169985999299965
163,2018-06-13,0.08462534770514603
164,2018-06-14,0.09075333911535124
165,2018-06-15,0.10404842615012107
166,2018-06-16,0.098036109691705
167,2018-06-17,0.05252307692307692
168,2018-06-18,0.05566896204232448
169,2018-06-19,0.08028162702516374
170,2018-06-20,0.07517379357719389
171,2018-06-21,0.07084979564032698
172,2018-06-22,0.15157611683848796
173,2018-06-23,0.05861921648091862
174,2018-06-24,0.08756384968542764
175,2018-06-25,0.09309744042365402
176,2018-06-26,0.06759359777313848
177,2018-06-27,0.06643954164528819
178,2018-06-28,0.06424175633460603
179,2018-06-29,0.06806072172102706
180,2018-06-30,0.3404701873935264
181,2018-07-01,0.554608531780024
182,2018-07-02,0.9887890032045876
183,2018-07-03,0.6921604406954727
184,2018-07-04,0.5041750899434642
185,2018-07-05,0.44101928374655647
186,2018-07-06,0.5742864476386037
187,2018-07-07,0.5180481099656357
188,2018-07-08,0.2426119010005266
189,2018-07-09,0.18733219470538004
190,2018-07-10,0.12696507003285493
191,2018-07-11,0.1414496712190187
192,2018-07-12,0.22744201568496575
193,2018-07-13,0.2573324374265077
194,2018-07-14,0.4882217782217782
195,2018-07-15,0.5870397230921378
196,2018-07-16,0.09966586908220816
197,2018-07-17,0.08605331974868398
198,2018-07-18,0.08311116901163802
199,2018-07-19,0.07456412912135336
200,2018-07-20,0.09561819116135664
201,2018-07-21,0.09858429214607302
202,2018-07-22,0.06156133891213389
203,2018-07-23,0.09526782668031389
204,2018-07-24,0.08179243336199485
205,2018-07-25,0.07516271186440679
206,2018-07-26,0.06681459330143541
207,2018-07-27,0.06145642240649856
208,2018-07-28,0.08555166082457019
209,2018-07-29,0.05054226289517471
210,2018-07-30,0.05756045614623511
211,2018-07-31,0.06009832742017233
212,2018-08-01,0.1275930728544617
213,2018-08-02,0.057047659719849673
214,2018-08-03,0.05815348208248817
215,2018-08-04,0.06686839913376645
216,2018-08-05,0.04429231287929872
217,2018-08-06,0.07203764983960831
218,2018-08-07,0.22882212765957446
219,2018-08-08,0.4831324492194057
220,2018-08-09,0.4189898819561552
221,2018-08-10,0.25659804252446844
222,2018-08-11,0.08533355761143818
223,2018-08-12,0.06212133676092545
224,2018-08-13,0.08970061307901907
225,2018-08-14,0.10070698924731182
226,2018-08-15,0.09892590108968985
227,2018-08-16,0.08834764309764309
228,2018-08-17,0.33136301369863014
229,2018-08-18,0.07512374638789733
230,2018-08-19,0.06647200674536256
231,2018-08-20,0.06851146325016857
232,2018-08-21,0.06334826371414193
233,2018-08-22,0.15051435325903412
234,2018-08-23,0.10249598496497521
235,2018-08-24,0.1775916582576522
236,2018-08-25,0.05628096523793452
237,2018-08-26,0.15984916764755341
238,2018-08-27,0.06335476270615954
239,2018-08-28,0.06453374025093252
240,2018-08-29,0.0901095076400679
241,2018-08-30,0.07468544839255499
242,2018-08-31,0.07523803124475055
243,2018-09-01,0.061320408163265304
244,2018-09-02,0.05510237265637962
245,2018-09-03,0.06323492440971633
246,2018-09-04,0.07707406166219838
247,2018-09-05,0.0608428475486904
248,2018-09-06,0.08451703042328043
249,2018-09-07,0.08567562996786741
250,2018-09-08,0.06814268867924529
251,2018-09-09,0.07341566367180878
252,2018-09-10,0.07463126352588646
253,2018-09-11,0.08534738420526491
254,2018-09-12,0.08598096971702797
255,2018-09-13,0.08921635576282479
256,2018-09-14,0.0646938674579624
257,2018-09-15,0.06368914229053049
258,2018-09-16,0.060558972681171275
259,2018-09-17,0.07272105263157895
260,2018-09-18,0.09101374224903637
261,2018-09-19,0.11407153356197942
262,2018-09-20,0.08226754240106418
263,2018-09-21,0.11179372123602893
264,2018-09-22,0.06945627691288506
265,2018-09-23,0.06090427631578947
266,2018-09-24,0.11183325102880659
267,2018-09-25,0.0842056273515459
268,2018-09-26,0.08755333769633507
269,2018-09-27,0.09373408978786384
270,2018-09-28,0.10181469334207936
271,2018-09-29,0.10863954060705498
272,2018-09-30,0.08540022898266274
273,2018-10-01,0.10037850697292865
274,2018-10-02,0.10457362459546925
275,2018-10-03,0.07320592592592592
276,2018-10-04,0.07179108363163032
277,2018-10-05,0.0704756517461879
278,2018-10-06,0.04673240115718418
279,2018-10-07,0.05034257330556001
280,2018-10-08,0.06983282084479689
281,2018-10-09,0.06301772645958693
282,2018-10-10,0.07262337872892347
283,2018-10-11,0.07682353898746541
284,2018-10-12,0.10011458670988656
285,2018-10-13,0.05523235103626943
286,2018-10-14,0.04784600452927855
287,2018-10-15,0.06722132895816244
288,2018-10-16,0.05753271180896304
289,2018-10-17,0.062463132137031
290,2018-10-18,0.05909899055682188
291,2018-10-19,0.06835416323165705
292,2018-10-20,0.059383403702500816
293,2018-10-21,0.054135858915741346
294,2018-10-22,0.0658769991755977
295,2018-10-23,0.0660248054474708
