,date,avg_fees
157,2018-06-07,0.1445450104895105
158,2018-06-08,0.12338220820689655
159,2018-06-09,0.13082074895104895
160,2018-06-10,0.13150356771653543
161,2018-06-11,0.17622156407142855
162,2018-06-12,0.15107954096551723
163,2018-06-13,0.2616379846853147
164,2018-06-14,0.18311915777777776
165,2018-06-15,0.1515982545751634
166,2018-06-16,0.09904968397590362
167,2018-06-17,0.14961159420382164
168,2018-06-18,0.10684702384146343
169,2018-06-19,0.5407009928387096
170,2018-06-20,1.3115181950967743
171,2018-06-21,0.4324713062352942
172,2018-06-22,0.45653523311258276
173,2018-06-23,0.19961240462500002
174,2018-06-24,0.15807519397660819
175,2018-06-25,0.2208925893630573
176,2018-06-26,0.22153319616438358
177,2018-06-27,0.2657757065289256
178,2018-06-28,0.17298889464968153
179,2018-06-29,0.1815273925165563
180,2018-06-30,0.1674049474468085
181,2018-07-01,0.1142373442176871
182,2018-07-02,0.166529345035461
183,2018-07-03,0.24053963551724136
184,2018-07-04,0.16078006835820896
185,2018-07-05,0.1442774101459854
186,2018-07-06,0.135642623375
187,2018-07-07,0.10621598512820513
188,2018-07-08,0.09901771626582279
189,2018-07-09,0.14651518580882353
190,2018-07-10,0.15342761080536912
191,2018-07-11,0.15142593014814815
192,2018-07-12,0.13215044234042553
193,2018-07-13,0.13660938132867134
194,2018-07-14,0.11287700203007518
195,2018-07-15,0.11487380872180451
196,2018-07-16,0.19677438075
197,2018-07-17,0.1568685324528302
198,2018-07-18,0.18291198132183908
199,2018-07-19,0.16858139801169592
200,2018-07-20,0.14992076603896104
201,2018-07-21,0.1268481094160584
202,2018-07-22,0.08116658692307693
203,2018-07-23,0.15735374487951806
204,2018-07-24,0.18643364962264153
205,2018-07-25,0.15154900209039548
206,2018-07-26,0.1447286486060606
207,2018-07-27,0.12409608215568863
208,2018-07-28,0.1155090343448276
209,2018-07-29,0.09218104211764706
210,2018-07-30,0.18341712492537315
211,2018-07-31,0.17403380748299319
212,2018-08-01,0.14188865733333333
213,2018-08-02,0.1647649528104575
214,2018-08-03,0.13984867156626507
215,2018-08-04,0.09769620005681819
216,2018-08-05,0.08518708
217,2018-08-06,0.13549989465648857
218,2018-08-07,0.12328039245033112
219,2018-08-08,0.13133455765822785
220,2018-08-09,0.13926313758389258
221,2018-08-10,0.11599157732954546
222,2018-08-11,0.09053239194117653
223,2018-08-12,0.0824210124516129
