year,month,state,price,,,,,,,,,,,,,,,,,,,,
2018,4,AL,12.79,,,,,,,,,,,,,,,,,,,,
2018,4,AR,10.00,,,,,,,,,,,,,,,,,,,,
2018,4,AZ,13.10,,,,,,,,,,,,,,,,,,,,
2018,4,CA,16.08,,,,,,,,,,,,,,,,,,,,
2018,4,CO,12.06,,,,,,,,,,,,,,,,,,,,
2018,4,CT,21.44,,,,,,,,,,,,,,,,,,,,
2018,4,DC,13.72,,,,,,,,,,,,,,,,,,,,
2018,4,DE,12.85,,,,,,,,,,,,,,,,,,,,
2018,4,FL,11.36,,,,,,,,,,,,,,,,,,,,
2018,4,GA,11.19,,,,,,,,,,,,,,,,,,,,
2018,4,HI,31.21,,,,,,,,,,,,,,,,,,,,
2018,4,IA,12.24,,,,,,,,,,,,,,,,,,,,
2018,4,ID,10.13,,,,,,,,,,,,,,,,,,,,
2018,4,IL,13.04,,,,,,,,,,,,,,,,,,,,
2018,4,IN,12.31,,,,,,,,,,,,,,,,,,,,
2018,4,KS,13.56,,,,,,,,,,,,,,,,,,,,
2018,4,KY,10.62,,,,,,,,,,,,,,,,,,,,
2018,4,LA,9.80,,,,,,,,,,,,,,,,,,,,
2018,4,MA,22.29,,,,,,,,,,,,,,,,,,,,
2018,4,MD,13.37,,,,,,,,,,,,,,,,,,,,
2018,4,ME,15.75,,,,,,,,,,,,,,,,,,,,
2018,4,MI,15.66,,,,,,,,,,,,,,,,,,,,
2018,4,MN,12.87,,,,,,,,,,,,,,,,,,,,
2018,4,MO,10.36,,,,,,,,,,,,,,,,,,,,
2018,4,MS,12.17,,,,,,,,,,,,,,,,,,,,
2018,4,MT,11.02,,,,,,,,,,,,,,,,,,,,
2018,4,NC,11.89,,,,,,,,,,,,,,,,,,,,
2018,4,ND,10.03,,,,,,,,,,,,,,,,,,,,
2018,4,NE,10.54,,,,,,,,,,,,,,,,,,,,
2018,4,NH,19.80,,,,,,,,,,,,,,,,,,,,
2018,4,NJ,15.60,,,,,,,,,,,,,,,,,,,,
2018,4,NM,12.58,,,,,,,,,,,,,,,,,,,,
2018,4,NV,12.34,,,,,,,,,,,,,,,,,,,,
2018,4,NY,18.00,,,,,,,,,,,,,,,,,,,,
2018,4,OH,12.66,,,,,,,,,,,,,,,,,,,,
2018,4,OK,11.05,,,,,,,,,,,,,,,,,,,,
2018,4,OR,10.86,,,,,,,,,,,,,,,,,,,,
2018,4,PA,14.08,,,,,,,,,,,,,,,,,,,,
2018,4,RI,20.47,,,,,,,,,,,,,,,,,,,,
2018,4,SC,13.21,,,,,,,,,,,,,,,,,,,,
2018,4,SD,11.23,,,,,,,,,,,,,,,,,,,,
2018,4,TN,10.81,,,,,,,,,,,,,,,,,,,,
2018,4,TX,11.59,,,,,,,,,,,,,,,,,,,,
2018,4,UT,10.52,,,,,,,,,,,,,,,,,,,,
2018,4,VA,11.85,,,,,,,,,,,,,,,,,,,,
2018,4,VT,17.92,,,,,,,,,,,,,,,,,,,,
2018,4,WA,9.74,,,,,,,,,,,,,,,,,,,,
2018,4,WI,14.69,,,,,,,,,,,,,,,,,,,,
2018,4,WV,11.47,,,,,,,,,,,,,,,,,,,,
2018,4,WY,11.29,,,,,,,,,,,,,,,,,,,,
2018,5,AK,22.14,,,,,,,,,,,,,,,,,,,,
2018,5,AL,12.49,,,,,,,,,,,,,,,,,,,,
2018,5,AR,9.89,,,,,,,,,,,,,,,,,,,,
2018,5,AZ,13.30,,,,,,,,,,,,,,,,,,,,
2018,5,CA,18.91,,,,,,,,,,,,,,,,,,,,
2018,5,CO,11.96,,,,,,,,,,,,,,,,,,,,
2018,5,CT,21.54,,,,,,,,,,,,,,,,,,,,
2018,5,DC,13.73,,,,,,,,,,,,,,,,,,,,
2018,5,DE,13.73,,,,,,,,,,,,,,,,,,,,
2018,5,FL,11.54,,,,,,,,,,,,,,,,,,,,
2018,5,GA,11.62,,,,,,,,,,,,,,,,,,,,
2018,5,HI,32.03,,,,,,,,,,,,,,,,,,,,
2018,5,IA,13.28,,,,,,,,,,,,,,,,,,,,
2018,5,ID,10.55,,,,,,,,,,,,,,,,,,,,
2018,5,IL,13.21,,,,,,,,,,,,,,,,,,,,
2018,5,IN,12.30,,,,,,,,,,,,,,,,,,,,
2018,5,KS,13.51,,,,,,,,,,,,,,,,,,,,
2018,5,KY,10.66,,,,,,,,,,,,,,,,,,,,
2018,5,LA,9.53,,,,,,,,,,,,,,,,,,,,
2018,5,MA,21.64,,,,,,,,,,,,,,,,,,,,
2018,5,MD,13.33,,,,,,,,,,,,,,,,,,,,
2018,5,ME,16.27,,,,,,,,,,,,,,,,,,,,
2018,5,MI,15.92,,,,,,,,,,,,,,,,,,,,
2018,5,MN,13.77,,,,,,,,,,,,,,,,,,,,
2018,5,MO,12.45,,,,,,,,,,,,,,,,,,,,
2018,5,MS,12.07,,,,,,,,,,,,,,,,,,,,
2018,5,MT,11.43,,,,,,,,,,,,,,,,,,,,
2018,5,NC,11.41,,,,,,,,,,,,,,,,,,,,
2018,5,ND,11.26,,,,,,,,,,,,,,,,,,,,
2018,5,NE,11.42,,,,,,,,,,,,,,,,,,,,
2018,5,NH,19.76,,,,,,,,,,,,,,,,,,,,
2018,5,NJ,15.88,,,,,,,,,,,,,,,,,,,,
2018,5,NM,12.14,,,,,,,,,,,,,,,,,,,,
2018,5,NV,12.05,,,,,,,,,,,,,,,,,,,,
2018,5,NY,18.52,,,,,,,,,,,,,,,,,,,,
2018,5,OH,12.81,,,,,,,,,,,,,,,,,,,,
2018,5,OK,10.09,,,,,,,,,,,,,,,,,,,,
2018,5,OR,11.20,,,,,,,,,,,,,,,,,,,,
2018,5,PA,14.32,,,,,,,,,,,,,,,,,,,,
2018,5,RI,20.03,,,,,,,,,,,,,,,,,,,,
2018,5,SC,12.85,,,,,,,,,,,,,,,,,,,,
2018,5,SD,12.10,,,,,,,,,,,,,,,,,,,,
2018,5,TN,10.87,,,,,,,,,,,,,,,,,,,,
2018,5,TX,11.60,,,,,,,,,,,,,,,,,,,,
2018,5,UT,10.79,,,,,,,,,,,,,,,,,,,,
2018,5,VA,12.28,,,,,,,,,,,,,,,,,,,,
2018,5,VT,18.35,,,,,,,,,,,,,,,,,,,,
2018,5,WA,9.70,,,,,,,,,,,,,,,,,,,,
2018,5,WI,15.21,,,,,,,,,,,,,,,,,,,,
2018,5,WV,11.78,,,,,,,,,,,,,,,,,,,,
2018,5,WY,11.98,,,,,,,,,,,,,,,,,,,,
2018,6,AK,22.51,,,,,,,,,,,,,,,,,,,,
2018,6,AL,12.41,,,,,,,,,,,,,,,,,,,,
2018,6,AR,9.99,,,,,,,,,,,,,,,,,,,,
2018,6,AZ,13.16,,,,,,,,,,,,,,,,,,,,
2018,6,CA,19.90,,,,,,,,,,,,,,,,,,,,
2018,6,CO,12.28,,,,,,,,,,,,,,,,,,,,
2018,6,CT,21.62,,,,,,,,,,,,,,,,,,,,
2018,6,DC,12.06,,,,,,,,,,,,,,,,,,,,
2018,6,DE,13.21,,,,,,,,,,,,,,,,,,,,
2018,6,FL,11.37,,,,,,,,,,,,,,,,,,,,
2018,6,GA,12.26,,,,,,,,,,,,,,,,,,,,
2018,6,HI,32.76,,,,,,,,,,,,,,,,,,,,
2018,6,IA,13.81,,,,,,,,,,,,,,,,,,,,
2018,6,ID,10.58,,,,,,,,,,,,,,,,,,,,
2018,6,IL,12.56,,,,,,,,,,,,,,,,,,,,
2018,6,IN,12.02,,,,,,,,,,,,,,,,,,,,
2018,6,KS,13.46,,,,,,,,,,,,,,,,,,,,
